0,1,2,3,4,5
Toyota Axio 2018,"91,000 km","Colombo, Cars","Rs 13,800,000",10 hours,https://ikman.lk/en/ad/toyota-axio-2018-for-sale-colombo-166
Toyota CHR NGX50 2017,"75,000 km","Galle, Cars","Rs 14,025,000",10 hours,https://ikman.lk/en/ad/toyota-chr-ngx50-2017-for-sale-galle-1
Toyota Land Cruiser Prado TX 150 2015,"118,000 km","Matara, Cars","Rs 44,500,000",10 hours,https://ikman.lk/en/ad/toyota-land-cruiser-prado-tx-150-2015-for-sale-matara
Toyota Corolla 141 2008,"154,000 km","Gampaha, Cars","Rs 6,240,000",10 hours,https://ikman.lk/en/ad/toyota-corolla-141-2008-for-sale-gampaha-504
Toyota Vitz Safety Push Start 2018,"84,000 km","Gampaha, Cars","Rs 8,750,000",10 hours,https://ikman.lk/en/ad/toyota-vitz-safety-push-start-2018-for-sale-gampaha-68
Toyota Land Cruiser Prado TRJ 150 TX 2012,"161,000 km","Colombo, Cars","Rs 33,800,000",10 hours,https://ikman.lk/en/ad/toyota-land-cruiser-prado-trj-150-tx-2012-for-sale-colombo
Toyota CHR NGX10 2018,"28,838 km","Galle, Cars","Rs 17,300,000",10 hours,https://ikman.lk/en/ad/toyota-chr-ngx10-2018-for-sale-galle-3
Toyota CHR 2019,"63,500 km","Kandy, Cars","Rs 16,800,000",10 hours,https://ikman.lk/en/ad/toyota-chr-2019-for-sale-kandy
Toyota Hilux ROCCO 2020,"59,000 km","Colombo, Cars","Rs 32,000,000",11 hours,https://ikman.lk/en/ad/toyota-hilux-rocco-2020-for-sale-colombo-23
Toyota Land Cruiser Prado 120 Diesel Auto 2007,"175,000 km","Colombo, Cars","Rs 21,500,000",11 hours,https://ikman.lk/en/ad/toyota-land-cruiser-prado-120-diesel-auto-2007-for-sale-colombo-1
Toyota Prius 3RD Generation 2015,"90,000 km","Puttalam, Cars","Rs 11,250,000",11 hours,https://ikman.lk/en/ad/toyota-prius-3rd-generation-2015-for-sale-puttalam
Toyota Aqua 2014,"136,416 km","Colombo, Cars","Rs 8,500,000",11 hours,https://ikman.lk/en/ad/toyota-aqua-2014-for-sale-colombo-3228
Toyota CHR 2018,"41,000 km","Colombo, Cars","Rs 16,490,000",11 hours,https://ikman.lk/en/ad/toyota-chr-2018-for-sale-colombo-670
Toyota Vitz Automatic 2007,"92,000 km","Colombo, Cars","Rs 5,175,000",11 hours,https://ikman.lk/en/ad/toyota-vitz-automatic-2007-for-sale-colombo
Toyota Land Cruiser Prado 2009,"98,000 km","Colombo, Cars","Rs 20,500,000",11 hours,https://ikman.lk/en/ad/toyota-land-cruiser-prado-2009-for-sale-colombo-10
Toyota CHR NGX50 2017,"109,000 km","Colombo, Cars","Rs 14,690,000",11 hours,https://ikman.lk/en/ad/toyota-chr-ngx50-2017-for-sale-colombo-63
Toyota Starlet 1995,"289,000 km","Kandy, Cars","Rs 3,200,000",12 hours,https://ikman.lk/en/ad/toyota-starlet-1995-for-sale-kandy
Toyota Premio 2017,"31,000 km","Colombo, Cars","Rs 18,975,000",12 hours,https://ikman.lk/en/ad/toyota-premio-2017-for-sale-colombo-631
Toyota Vitz 2016,"53,000 km","Gampaha, Cars","Rs 8,300,000",12 hours,https://ikman.lk/en/ad/toyota-vitz-edition-03-2016-for-sale-gampaha
Toyota Vitz Edition 02 2018,"6,000 km","Puttalam, Cars","Rs 9,875,000",12 hours,https://ikman.lk/en/ad/toyota-vitz-edition-02-2018-for-sale-puttalam-24
Toyota Hilux GR Sport 2020,"38,000 km","Colombo, Cars","Rs 29,800,000",13 hours,https://ikman.lk/en/ad/toyota-hilux-gr-sport-2020-for-sale-colombo
Toyota Passo Moda Vitz Safety 2016,"109,000 km","Gampaha, Cars","Rs 7,750,000",13 hours,https://ikman.lk/en/ad/toyota-passo-moda-vitz-safety-2016-for-sale-gampaha
Toyota Premio G SUPERIOR 2013,"118,000 km","Colombo, Cars","Rs 12,500,000",14 hours,https://ikman.lk/en/ad/toyota-premio-g-superior-2013-for-sale-colombo-1967
